"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"South Tynedale","E36001187","Aged 16-24",5
"South Tynedale","E36001187","Aged 25-29",0
"Stakeford","E36001188","Aged 16-24",15
"Stakeford","E36001188","Aged 25-29",5
"Stocksfield and Broomhaugh","E36001189","Aged 16-24",10
"Stocksfield and Broomhaugh","E36001189","Aged 25-29",5
"Ulgham","E36001190","Aged 16-24",15
"Ulgham","E36001190","Aged 25-29",5
"Wensleydale","E36001191","Aged 16-24",30
"Wensleydale","E36001191","Aged 25-29",10
"Wooler","E36001192","Aged 16-24",10
"Wooler","E36001192","Aged 25-29",5
"Brotton","E36000041","Aged 16-24",45
"Brotton","E36000041","Aged 25-29",35
"Coatham","E36000042","Aged 16-24",55
"Coatham","E36000042","Aged 25-29",40
"Dormanstown","E36000043","Aged 16-24",40
"Dormanstown","E36000043","Aged 25-29",30
"Eston","E36000044","Aged 16-24",50
"Eston","E36000044","Aged 25-29",35
"Grangetown","E36000045","Aged 16-24",85
"Grangetown","E36000045","Aged 25-29",50
"Guisborough","E36000046","Aged 16-24",45
"Guisborough","E36000046","Aged 25-29",20
"Hutton","E36000047","Aged 16-24",20
"Hutton","E36000047","Aged 25-29",10
"Kirkleatham","E36000048","Aged 16-24",50
"Kirkleatham","E36000048","Aged 25-29",25
"Lockwood","E36000049","Aged 16-24",15
"Lockwood","E36000049","Aged 25-29",10
"Loftus","E36000050","Aged 16-24",45
"Loftus","E36000050","Aged 25-29",25
"Longbeck","E36000051","Aged 16-24",15
"Longbeck","E36000051","Aged 25-29",10
"Newcomen","E36000052","Aged 16-24",20
"Newcomen","E36000052","Aged 25-29",15
"Normanby","E36000053","Aged 16-24",30
"Normanby","E36000053","Aged 25-29",20
"Ormesby","E36000054","Aged 16-24",15
"Ormesby","E36000054","Aged 25-29",5
"Saltburn","E36000055","Aged 16-24",15
"Saltburn","E36000055","Aged 25-29",10
"Skelton","E36000056","Aged 16-24",40
"Skelton","E36000056","Aged 25-29",30
"South Bank","E36000057","Aged 16-24",65
"South Bank","E36000057","Aged 25-29",50
"St Germain's","E36000058","Aged 16-24",25
"St Germain's","E36000058","Aged 25-29",10
"Teesville","E36000059","Aged 16-24",45
"Teesville","E36000059","Aged 25-29",20
"West Dyke","E36000060","Aged 16-24",15
"West Dyke","E36000060","Aged 25-29",10
"Westworth","E36000061","Aged 16-24",15
"Westworth","E36000061","Aged 25-29",5
"Zetland","E36000062","Aged 16-24",10
"Zetland","E36000062","Aged 25-29",5
"Billingham Central","E36000063","Aged 16-24",55
"Billingham Central","E36000063","Aged 25-29",25
"Billingham East","E36000064","Aged 16-24",60
"Billingham East","E36000064","Aged 25-29",45
"Billingham North","E36000065","Aged 16-24",25
"Billingham North","E36000065","Aged 25-29",10
"Billingham South","E36000066","Aged 16-24",40
"Billingham South","E36000066","Aged 25-29",30
"Billingham West","E36000067","Aged 16-24",15
"Billingham West","E36000067","Aged 25-29",0
"Bishopsgarth and Elm Tree","E36000068","Aged 16-24",25
"Bishopsgarth and Elm Tree","E36000068","Aged 25-29",5
"Eaglescliffe","E36000069","Aged 16-24",25
"Eaglescliffe","E36000069","Aged 25-29",10
"Fairfield","E36000070","Aged 16-24",15
"Fairfield","E36000070","Aged 25-29",5
"Grangefield","E36000071","Aged 16-24",30
"Grangefield","E36000071","Aged 25-29",5
"Hardwick","E36000072","Aged 16-24",70
"Hardwick","E36000072","Aged 25-29",45
"Hartburn","E36000073","Aged 16-24",10
"Hartburn","E36000073","Aged 25-29",5
"Ingleby Barwick East","E36000074","Aged 16-24",30
"Ingleby Barwick East","E36000074","Aged 25-29",5
"Ingleby Barwick West","E36000075","Aged 16-24",25
"Ingleby Barwick West","E36000075","Aged 25-29",10
"Mandale and Victoria","E36000076","Aged 16-24",105
"Mandale and Victoria","E36000076","Aged 25-29",85
"Newtown","E36000077","Aged 16-24",95
"Newtown","E36000077","Aged 25-29",65
"Northern Parishes","E36000078","Aged 16-24",5
"Northern Parishes","E36000078","Aged 25-29",0
"Norton North","E36000079","Aged 16-24",40
"Norton North","E36000079","Aged 25-29",25
"Norton South","E36000080","Aged 16-24",40
"Norton South","E36000080","Aged 25-29",35
"Norton West","E36000081","Aged 16-24",10
"Norton West","E36000081","Aged 25-29",5
"Parkfield and Oxbridge","E36000082","Aged 16-24",105
"Parkfield and Oxbridge","E36000082","Aged 25-29",80
"Roseworth","E36000083","Aged 16-24",70
"Roseworth","E36000083","Aged 25-29",35
"Stainsby Hill","E36000084","Aged 16-24",45
