"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","AGE","AGE_NAME","AGE_CODE","AGE_TYPE","AGE_TYPECODE","AGE_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2019-09","September 2019","2019-09","date",0,0,"989856834","Easington","E36001090","2011 census frozen wards",236,51,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856834d0d0d2d1d20100",51,9481
"2019-09","September 2019","2019-09","date",0,0,"989856835","Elvet","E36001091","2011 census frozen wards",236,52,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856835d0d0d2d1d20100",52,9481
"2019-09","September 2019","2019-09","date",0,0,"989856836","Esh","E36001092","2011 census frozen wards",236,53,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",25,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856836d0d0d2d1d20100",53,9481
"2019-09","September 2019","2019-09","date",0,0,"989856837","Evenwood","E36001093","2011 census frozen wards",236,54,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856837d0d0d2d1d20100",54,9481
"2019-09","September 2019","2019-09","date",0,0,"989856838","Ferryhill","E36001094","2011 census frozen wards",236,55,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856838d0d0d2d1d20100",55,9481
"2019-09","September 2019","2019-09","date",0,0,"989856839","Framwellgate Moor","E36001095","2011 census frozen wards",236,56,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856839d0d0d2d1d20100",56,9481
"2019-09","September 2019","2019-09","date",0,0,"989856840","Gilesgate","E36001096","2011 census frozen wards",236,57,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",50,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856840d0d0d2d1d20100",57,9481
"2019-09","September 2019","2019-09","date",0,0,"989856841","Horden","E36001097","2011 census frozen wards",236,58,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856841d0d0d2d1d20100",58,9481
"2019-09","September 2019","2019-09","date",0,0,"989856842","Lanchester","E36001098","2011 census frozen wards",236,59,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",15,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856842d0d0d2d1d20100",59,9481
"2019-09","September 2019","2019-09","date",0,0,"989856843","Leadgate and Medomsley","E36001099","2011 census frozen wards",236,60,"0","Total","0","Sex",1000,0,"2","Aged 16-24","2","Ageband",2000,0,"1","Claimant count","1","measures",1000,0,"20100","Value",40,"A","Normal Value","F","Free (free for publication)","Nm-162d1d32313e0d989856843d0d0d2d1d20100",60,9481
