GEOGRAPHY_NAME,GEOGRAPHY_CODE,25-29
Eggbuckland,E05002083,0
Ham,E05002084,0
Honicknowle,E05002085,0
Moor View,E05002086,0
Peverell,E05002087,0
Plympton Chaddlewood,E05002088,5
Plympton Erle,E05002089,0
Plympton St Mary,E05002090,0
Plymstock Dunstone,E05002091,0
Plymstock Radford,E05002092,0
Southway,E05002095,0
St Budeaux,E05002093,0
St Peter and the Waterfront,E05002094,0
Stoke,E05002096,5
Sutton and Mount Gould,E05002097,5
Berry Head-with-Furzeham,E05002098,5
Blatchcombe,E05002099,0
Churston-with-Galmpton,E05002100,10
Clifton-with-Maidenway,E05002101,5
Cockington-with-Chelston,E05002102,0
Ellacombe,E05002103,0
Goodrington-with-Roselands,E05002104,0
Preston,E05002105,0
Roundham-with-Hyde,E05002106,0
Shiphay-with-the-Willows,E05002109,0
St Marychurch,E05002107,0
St Mary's-with-Summercombe,E05002108,5
Tormohun,E05002110,0
Watcombe,E05002111,0
Wellswood,E05002112,0
Boscombe East,E05002113,0
Boscombe West,E05002114,0
Central,E05002115,0
East Cliff and Springbourne,E05002116,0
East Southbourne and Tuckton,E05002117,0
Kinson North,E05002118,0
Kinson South,E05002119,5
Littledown and Iford,E05002120,5
Moordown,E05002121,0
Queen's Park,E05002122,5
Redhill and Northbourne,E05002123,5
Strouden Park,E05002124,5
Talbot and Branksome Woods,E05002125,0
Throop and Muscliff,E05002126,0
Wallisdown and Winton West,E05002127,0
West Southbourne,E05002128,5
Westbourne and West Cliff,E05002129,0
Winton East,E05002130,0
Alderney,E05002131,5
Branksome East,E05002132,0
Branksome West,E05002133,0
Broadstone,E05002134,0
Canford Cliffs,E05002135,0
Canford Heath East,E05002136,0
Canford Heath West,E05002137,0
Creekmoor,E05002138,0
Hamworthy East,E05002139,0
Hamworthy West,E05002140,0
Merley and Bearwood,E05002141,5
Newtown,E05002142,0
Oakdale,E05002143,0
Parkstone,E05002144,0
Penn Hill,E05002145,0
Poole Town,E05002146,0
Abbey Meads,E05002147,0
Blunsdon,E05002148,0
Central,E05002149,0
Covingham and Nythe,E05002150,0
Dorcan,E05002151,20
Eastcott,E05002152,40
Freshbrook and Grange Park,E05002153,75
Gorse Hill and Pinehurst,E05002154,10
Haydon Wick,E05002155,75
Highworth,E05002156,100
Moredon,E05002157,80
Old Town and Lawn,E05002158,125
Parks,E05002159,45
Penhill,E05002160,10
Ridgeway,E05002161,25
Shaw and Nine Elms,E05002164,25
St Margaret,E05002162,40
St Philip,E05002163,35
Toothill and Westlea,E05002165,35
Walcot,E05002166,90
Western,E05002167,50
Wroughton and Chiseldon,E05002168,75
Barnack,E05002169,20
Bretton North,E05002170,35
Bretton South,E05002171,30
Central,E05002172,25
Dogsthorpe,E05002173,75
East,E05002174,30
Eye and Thorney,E05002175,35
Fletton and Woodston,E05002176,75
Glinton and Wittering,E05002177,15
Newborough,E05002178,15
North,E05002179,50
Northborough,E05002180,20
Orton Longueville,E05002181,65
Orton Waterville,E05002182,25
Orton with Hampton,E05002183,50
Park,E05002184,20
Paston,E05002185,25
Ravensthorpe,E05002186,15
Stanground Central,E05002187,25
Stanground East,E05002188,75
Walton,E05002189,100
Werrington North,E05002190,80
Werrington South,E05002191,100
West,E05002192,40
Barnfield,E05002193,65
Biscot,E05002194,60
Bramingham,E05002195,125
Challney,E05002196,35
Crawley,E05002197,45
Dallow,E05002198,15
Farley,E05002199,80
High Town,E05002200,25
Icknield,E05002201,25
Leagrave,E05002202,55
Lewsey,E05002203,120
Limbury,E05002204,115
Northwell,E05002205,135
Round Green,E05002206,65
Saints,E05002207,85
South,E05002208,60
Stopsley,E05002209,105
Sundon Park,E05002210,120
Wigmore,E05002211,155
Belfairs,E05002212,65
Blenheim Park,E05002213,75
Chalkwell,E05002214,75
Eastwood Park,E05002215,80
Kursaal,E05002216,105
Leigh,E05002217,60
Milton,E05002218,40
Prittlewell,E05002219,85
Shoeburyness,E05002222,110
Southchurch,E05002223,35
St Laurence,E05002220,50
St. Luke's,E05002221,60
Thorpe,E05002224,100
Victoria,E05002225,20
West Leigh,E05002227,35
West Shoebury,E05002228,40
Westborough,E05002226,65
Aveley and Uplands,E05002229,65
Belhus,E05002230,20
Chadwell St Mary,E05002231,35
Chafford and North Stifford,E05002232,5
Corringham and Fobbing,E05002233,5
East Tilbury,E05002234,30
Grays Riverside,E05002235,35
Grays Thurrock,E05002236,65
Little Thurrock Blackshots,E05002237,105
Little Thurrock Rectory,E05002238,70
Ockendon,E05002239,80
Orsett,E05002240,65
South Chafford,E05002241,20
Stanford East and Corringham Town,E05002242,45
Stanford-le-Hope West,E05002243,75
Stifford Clays,E05002244,55
The Homesteads,E05002245,35
Tilbury Riverside and Thurrock Park,E05002246,45
Tilbury St Chads,E05002247,75
West Thurrock and South Stifford,E05002248,15
Chatham Central,E05002249,85
Cuxton and Halling,E05002250,15
Gillingham North,E05002251,5
Gillingham South,E05002252,50
Hempstead and Wigmore,E05002253,40
Lordswood and Capstone,E05002254,65
Luton and Wayfield,E05002255,30
Peninsula,E05002256,50
Princes Park,E05002257,20
Rainham Central,E05002258,55
Rainham North,E05002259,55
Rainham South,E05002260,75
River,E05002261,10
Rochester East,E05002262,140
Rochester South and Horsted,E05002263,35
Rochester West,E05002264,15
Strood North,E05002265,35
Strood Rural,E05002266,25
Strood South,E05002267,65
Twydall,E05002268,35
Walderslade,E05002269,95
Watling,E05002270,105
Ascot,E05002271,75
Binfield with Warfield,E05002272,50
Bullbrook,E05002273,25
Central Sandhurst,E05002274,35
College Town,E05002275,80
Crown Wood,E05002276,20
Crowthorne,E05002277,45
Great Hollands North,E05002278,55
Great Hollands South,E05002279,5
Hanworth,E05002280,10
Harmans Water,E05002281,5
Little Sandhurst and Wellington,E05002282,20
Old Bracknell,E05002283,35
Owlsmoor,E05002284,140
Priestwood and Garth,E05002285,15
Warfield Harvest Ride,E05002286,20
Wildridings and Central,E05002287,15
Winkfield and Cranbourne,E05002288,55
Aldermaston,E05002289,50
Basildon,E05002290,15
Birch Copse,E05002291,15
Bucklebury,E05002292,25
Burghfield,E05002293,30
Calcot,E05002294,35
Chieveley,E05002295,10
Clay Hill,E05002296,15
Cold Ash,E05002297,35
Compton,E05002298,60
Downlands,E05002299,30
Falkland,E05002300,5
Greenham,E05002301,55
Hungerford,E05002302,70
Kintbury,E05002303,35
Lambourn Valley,E05002304,30
Mortimer,E05002305,35
Northcroft,E05002306,50
Pangbourne,E05002307,25
Purley on Thames,E05002308,40
Speen,E05002310,35
St Johns,E05002309,55
Sulhamstead,E05002311,40
Thatcham Central,E05002312,45
Thatcham North,E05002313,55
Thatcham South and Crookham,E05002314,30
Thatcham West,E05002315,35
Theale,E05002316,30
Victoria,E05002317,70
Westwood,E05002318,70
Abbey,E05002319,30
Battle,E05002320,10
Caversham,E05002321,5
Church,E05002322,10
Katesgrove,E05002323,15
Kentwood,E05002324,5
Mapledurham,E05002325,50
Minster,E05002326,70
Norcot,E05002327,10
Park,E05002328,5
Peppard,E05002329,15
Redlands,E05002330,50
Southcote,E05002331,5
Thames,E05002332,5
Tilehurst,E05002333,40
Whitley,E05002334,15
Baylis and Stoke,E05002335,15
Britwell,E05002336,35
Central,E05002337,40
Chalvey,E05002338,0
Cippenham Green,E05002339,20
Cippenham Meadows,E05002340,20
Colnbrook with Poyle,E05002341,70
Farnham,E05002342,30
Foxborough,E05002343,25
Haymill,E05002344,20
Kedermister,E05002345,35
Langley St Mary's,E05002346,90
Upton,E05002347,25
Wexham Lea,E05002348,75
Ascot and Cheapside,E05002349,25
Belmont,E05002350,45
Bisham and Cookham,E05002351,15
Boyn Hill,E05002352,65
Bray,E05002353,60
Castle Without,E05002354,55
Clewer East,E05002355,80
Clewer North,E05002356,15
Clewer South,E05002357,10
Cox Green,E05002358,60
Datchet,E05002359,10
Eton and Castle,E05002360,15
Eton Wick,E05002361,40
Furze Platt,E05002362,50
Horton and Wraysbury,E05002363,30
Hurley and Walthams,E05002364,0
Maidenhead Riverside,E05002365,40
Old Windsor,E05002366,50
Oldfield,E05002367,10
Park,E05002368,25
Pinkneys Green,E05002369,5
Sunningdale,E05002370,15
Sunninghill and South Ascot,E05002371,40
Arborfield,E05002372,20
Barkham,E05002373,40
Bulmershe and Whitegates,E05002374,20
Charvil,E05002375,20
Coronation,E05002376,35
Emmbrook,E05002377,35
Evendons,E05002378,35
Finchampstead North,E05002379,60
Finchampstead South,E05002380,10
Hawkedon,E05002381,10
Hillside,E05002382,10
Hurst,E05002383,0
Loddon,E05002384,5
Maiden Erlegh,E05002385,30
Norreys,E05002386,15
"Remenham, Wargrave and Ruscombe",E05002387,10
Shinfield North,E05002388,35
Shinfield South,E05002389,25
Sonning,E05002390,5
South Lake,E05002391,20
Swallowfield,E05002392,5
Twyford,E05002393,15
Wescott,E05002394,10
Winnersh,E05002395,5
Wokingham Without,E05002396,0
Bletchley and Fenny Stratford,E05002397,0
Bradwell,E05002398,5
Campbell Park,E05002399,5
Danesborough,E05002400,0
Denbigh,E05002401,0
Eaton Manor,E05002402,5
Emerson Valley,E05002403,15
Furzton,E05002404,0
Hanslope Park,E05002405,0
Linford North,E05002406,5
Linford South,E05002407,5
Loughton Park,E05002408,5
Middleton,E05002409,10
Newport Pagnell North,E05002410,10
