GEOGRAPHY_NAME,OBS_VALUE
Warton,10
Barrowford,5
Blacko and Higherford,10
Boulsworth,25
Bradley,40
Brierfield,5
Clover Hill,60
Coates,55
Craven,25
Earby,15
Foulridge,20
Higham and Pendleside,20
Horsfield,35
Marsden,10
Old Laund Booth,35
Reedley,30
Southfield,50
Vivary Bridge,25
Walverden,15
Waterside,10
Whitefield,5
Cadley,35
Deepdale,5
Fishwick,20
Garrison,15
Greyfriars,5
Ingol,5
Larches,50
Lea,15
Moor Park,45
Preston Rural East,20
Preston Rural North,10
Ribbleton,0
Riversway,5
Sharoe Green,10
St George's,60
St Matthew's,10
Town Centre,10
Tulketh,0
"Aighton, Bailey and Chaigley",35
Alston and Hothersall,50
Billington and Old Langho,5
"Bowland, Newton and Slaidburn",10
Chatburn,0
Chipping,5
Clayton-le-Dale with Ramsgreave,35
Derby and Thornley,5
Dilworth,0
Edisford and Low Moor,0
"Gisburn, Rimington",45
Langho,30
Littlemoor,30
Mellor,15
Read and Simonstone,5
Ribchester,10
Sabden,0
Salthill,0
Waddington and West Bradford,20
Whalley,10
Wilpshire,0
Wiswell and Pendleton,15
Cribden,40
Eden,25
Facit and Shawforth,20
Goodshaw,30
Greenfield,15
Greensclough,20
Hareholme,25
Healey and Whitworth,10
Helmshore,5
Irwell,25
Longholme,35
Stacksteads,15
Whitewell,5
Bamber Bridge East,25
Bamber Bridge North,35
Bamber Bridge West,20
Broad Oak,30
Charnock,5
Coupe Green and Gregson Lane,5
Earnshaw Bridge,50
Farington East,35
Farington West,15
Golden Hill,60
Howick and Priory,50
Kingsfold,50
Leyland Central,40
Leyland St. Ambrose,15
Leyland St. Mary's,0
Little Hoole and Much Hoole,5
Longton and Hutton West,0
Lostock Hall,0
Lowerhouse,5
Middleforth,0
New Longton and Hutton East,0
Samlesbury and Walton,0
Seven Stars,5
Tardy Gate,5
Walton-le-Dale,0
Ashurst,0
Aughton and Downholland,10
Aughton Park,0
Bickerstaffe,5
Birch Green,5
Burscough East,0
Burscough West,0
Derby,5
Digmoor,5
Halsall,0
Hesketh-with-Becconsall,0
Knowsley,5
Newburgh,0
North Meols,10
Parbold,5
Rufford,15
Scarisbrick,5
Scott,20
Skelmersdale North,30
Skelmersdale South,25
Tanhouse,20
Tarleton,10
Up Holland,45
Wrightington,30
Bourne,20
Breck,15
Brock,50
Cabus,10
Calder,10
Carleton,15
Catterall,10
Cleveleys Park,5
Garstang,5
Great Eccleston,10
Hambleton and Stalmine-with-Staynall,5
Hardhorn,10
High Cross,20
Jubilee,5
Mount,20
Norcross,15
Pharos,15
Pilling,5
Preesall,5
Rossall,5
Staina,10
Tithebarn,30
Warren,5
Wyresdale,10
Cherryfield,5
Halewood North,5
Halewood South,15
Halewood West,5
Kirkby Central,5
Longview,5
Northwood,20
Page Moss,0
Prescot East,5
Prescot West,0
Roby,30
Shevington,5
St Bartholomews,10
St Gabriels,15
St Michaels,50
Stockbridge,5
Swanside,5
Whiston North,5
Whiston South,30
Allerton and Hunts Cross,0
Anfield,10
Belle Vale,5
Childwall,5
Clubmoor,10
County,15
Cressington,25
Croxteth,20
Everton,35
Fazakerley,10
Greenbank,20
Kensington and Fairfield,5
Kirkdale,20
Knotty Ash,0
Mossley Hill,0
Norris Green,5
Old Swan,0
Picton,5
Princes Park,0
Speke-Garston,10
Tuebrook and Stoneycroft,0
Wavertree,5
West Derby,5
Woolton,5
Yew Tree,10
Ainsdale,10
Birkdale,20
Blundellsands,10
Cambridge,20
Ford,60
Harington,0
Kew,15
Linacre,30
Litherland,5
Meols,10
Molyneux,5
Netherton and Orrell,20
Norwood,0
Ravenmeols,40
St Oswald,15
Billinge and Seneley Green,35
Blackbrook,40
Bold,50
Earlestown,100
Eccleston,80
Haydock,70
Moss Bank,55
Parr,50
Rainford,20
Rainhill,10
Thatto Heath,30
Windle,30
Bebington,50
Bidston and St James,55
Birkenhead and Tranmere,50
Bromborough,15
Clatterbridge,25
Claughton,40
Eastham,35
"Greasby, Frankby and Irby",35
Heswall,115
Hoylake and Meols,90
Leasowe and Moreton East,35
Liscard,25
Moreton West and Saughall Massie,20
New Brighton,95
Oxton,145
Pensby and Thingwall,35
Prenton,65
Rock Ferry,170
Seacombe,100
Wallasey,60
West Kirby and Thurstaston,175
Beverley Rural,135
Bridlington Central and Old Town,70
Bridlington North,20
Bridlington South,90
Cottingham North,90
Cottingham South,165
Dale,200
Driffield and Rural,105
East Wolds and Coastal,165
Goole North,40
Goole South,140
Hessle,90
Howden,50
Howdenshire,30
Mid Holderness,25
Minster and Woodmansey,85
North Holderness,35
Pocklington Provincial,25
"Snaith, Airmyn, Rawcliffe and Marshland",20
South East Holderness,30
South Hunsley,75
South West Holderness,115
Tranby,50
Willerby and Kirk Ella,90
Wolds Weighton,5
Avenue,50
Beverley,185
Boothferry,85
Bransholme East,45
Bransholme West,25
Bricknell,30
Derringham,70
Drypool,60
Holderness,15
Ings,20
Kings Park,75
Longhill,25
Marfleet,35
Myton,25
Newington,40
Newland,50
Orchard Park and Greenwood,60
Pickering,25
Southcoates East,40
Southcoates West,50
Croft Baker,50
East Marsh,115
Freshney,15
Haverstoe,25
Heneage,55
Humberston and New Waltham,85
Immingham,120
Scartho,55
Sidney Sussex,50
South,40
Waltham,125
West Marsh,275
Wolds,65
Yarborough,20
Ashby,70
Axholme Central,35
Axholme North,25
Axholme South,10
Bottesford,20
Brigg and Wolds,100
Broughton and Appleby,105
Brumby,50
Burringham and Gunness,65
Burton upon Stather and Winterton,50
Crosby and Park,25
Ferry,55
Frodingham,120
Kingsway with Lincoln Gardens,185
Ridge,60
Town,30
Acomb,20
Bishopthorpe,20
Derwent,45
Dringhouses and Woodthorpe,25
Fishergate,125
Fulford,10
Guildhall,20
Haxby and Wigginton,20
Heslington,40
Heworth,15
Heworth Without,40
