GEOGRAPHY_CODE,OBS_VALUE,,,,,,,,GEOGRAPHY_NAME
E05001797,35,,,,,Ballygawley,95OO04,0,Knighton
E05001798,30,,,,,Ballysaggart,95OO05,10,Latimer
E05001799,125,,,,,Benburb,95OO06,5,New Parks
E05001800,35,,,,,Caledon,95OO07,5,Rushey Mead
E05001801,100,,,,,Castlecaulfield,95OO08,5,Spinney Hills
E05001802,90,,,,,Clogher,95OO09,5,Stoneygate
E05001803,35,,,,,Coalisland North,95OO10,10,Thurncourt
E05001804,65,,,,,Coalisland South,95OO11,10,Westcotes
E05001805,40,,,,,Coalisland West and Newmills,95OO12,10,Western Park
E05001806,0,,,,,Coolhill,95OO13,5,Braunston and Belton
E05001807,5,,,,,Donaghmore (Dungannon LGD),95OO14,5,Cottesmore
E05001808,0,,,,,Drumglass,95OO15,10,Exton
E05001809,0,,,,,Fivemiletown,95OO16,5,Greetham
E05001810,0,,,,,Killyman,95OO17,5,Ketton
E05001811,0,,,,,Killymeal,95OO18,10,Langham
E05001812,0,,,,,Moy,95OO19,5,Lyddington
E05001813,0,,,,,Moygashel,95OO20,5,Martinsthorpe
E05001814,5,,,,,Mullaghmore,95OO21,10,Normanton
E05001815,0,,,,,Washing Bay,95OO22,0,Oakham North East
E05001816,5,,,,,Ballinamallard,95PP01,10,Oakham North West
E05001817,5,,,,,Belcoo and Garrison,95PP02,10,Oakham South East
E05001818,0,,,,,Belleek and Boa,95PP03,10,Oakham South West
E05001819,10,,,,,Boho Cleenish and Letterbreen,95PP04,5,Ryhall and Casterton
E05001820,5,,,,,Brookeborough,95PP05,10,Uppingham
E05001821,0,,,,,Castlecoole,95PP06,15,Whissendine
E05001822,120,,,,,Derrygonnelly,95PP07,5,Arboretum
E05001823,200,,,,,Derrylin,95PP08,5,Aspley
E05001824,95,,,,,Devenish,95PP09,15,Basford
E05001825,180,,,,,Donagh,95PP10,5,Berridge
E05001826,140,,,,,Erne,95PP11,10,Bestwood
E05001827,130,,,,,Florence Court and Kinawley,95PP12,5,Bilborough
E05001828,90,,,,,Irvinestown,95PP13,5,Bridge
E05001829,175,,,,,Kesh Ederney and Lack,95PP14,10,Bulwell
E05001830,55,,,,,Lisbellaw,95PP15,10,Bulwell Forest
E05001831,55,,,,,Lisnarrick,95PP16,10,Clifton North
E05001832,70,,,,,Lisnaskea,95PP17,10,Clifton South
E05001833,125,,,,,Maguiresbridge,95PP18,10,Dales
E05001834,15,,,,,Newtownbutler,95PP19,10,Dunkirk and Lenton
E05001835,60,,,,,Portora,95PP20,10,Leen Valley
E05001836,75,,,,,Rosslea,95PP21,10,Mapperley
E05001837,90,,,,,Rossorry,95PP22,10,Radford and Park
E05001839,95,,,,,Tempo,95PP23,10,Sherwood
E05001838,150,,,,,Antiville,95QQ01,15,St Ann's
E05001840,15,,,,,Ballycarry,95QQ02,5,Wollaton East and Lenton Abbey
E05001841,25,,,,,Ballyloran,95QQ03,15,Wollaton West
E05001842,10,,,,,Blackcave,95QQ04,10,Aylestone
E05001843,5,,,,,Carncastle,95QQ05,0,Backbury
E05001844,40,,,,,Carnlough,95QQ06,5,Belmont
E05001845,5,,,,,Central (Larne LGD),95QQ07,15,Bircher
E05001846,0,,,,,Craigy Hill,95QQ08,10,Bringsty
E05001847,10,,,,,Gardenmore,95QQ09,5,Bromyard
E05001848,5,,,,,Glenarm,95QQ10,5,"Burghill, Holmer and Lyde"
E05001849,5,,,,,Glynn,95QQ11,5,Castle
E05001850,15,,,,,Harbour (Larne LGD),95QQ12,5,Central
E05001851,5,,,,,Island Magee,95QQ13,10,Credenhill
